Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4816,2638,2178
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,4535,2649,1886
Abadia De Goiás,520005,GO,Centro-Oeste,PFIZER/BIONTECH,2197,1897,300
Abadia De Goiás,520005,GO,Centro-Oeste,JANSSEN,66,0,0
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4792,2717,2075
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,2318,1200,1118
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,1557,1310,221
Abadia Dos Dourados,310010,MG,Sudeste,JANSSEN,126,0,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11230,6278,4952
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,5371,2976,2395
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,3970,3000,969
Abadiânia,520010,GO,Centro-Oeste,JANSSEN,322,0,0
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,11746,6716,5030
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,10760,5740,5020
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,7136,5773,1363
Abaeté,310020,MG,Sudeste,JANSSEN,498,0,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,122413,80948,41465
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,24873,14595,10277
Abaetetuba,150010,PA,Norte,PFIZER/BIONTECH,8582,8553,29
Abaetetuba,150010,PA,Norte,JANSSEN,1060,0,0
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,1399,826,573
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,416,270,146
Abaiara,230010,CE,Nordeste,PFIZER/BIONTECH,17,17,0
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,7460,3998,3462
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,3302,1654,1648
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,1330,1119,211
Abaíra,290010,BA,Nordeste,JANSSEN,39,0,0
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,8429,4529,3900
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,7382,3843,3538
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,5061,4049,955
Abaré,290020,BA,Nordeste,JANSSEN,273,0,0
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,5490,2936,2554
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,2950,1495,1455
Abatiá,410010,PR,Sul,PFIZER/BIONTECH,1860,1384,429
Abatiá,410010,PR,Sul,JANSSEN,176,0,0
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,1996,1023,973
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,1336,706,630
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,1090,688,348
Abdon Batista,420005,SC,Sul,JANSSEN,85,0,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,3009,2028,981
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,1857,1168,689
Abel Figueiredo,150013,PA,Norte,PFIZER/BIONTECH,508,507,1
Abel Figueiredo,150013,PA,Norte,JANSSEN,166,0,0
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,9718,5163,4555
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,5856,3121,2735
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,5089,3697,1325
Abelardo Luz,420010,SC,Sul,JANSSEN,602,0,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,7228,4062,3166
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,4821,2462,2359
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,4206,3300,896
Abre Campo,310030,MG,Sudeste,JANSSEN,439,0,0
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,46981,27260,19721
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,33751,25921,7747
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,31335,17216,14119
Abreu E Lima,260005,PE,Nordeste,JANSSEN,918,0,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,1897,1143,754
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,622,329,293
Abreulândia,170025,TO,Norte,PFIZER/BIONTECH,345,341,4
Abreulândia,170025,TO,Norte,JANSSEN,45,0,0
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2955,1765,1190
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1368,713,655
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,1035,881,150
Acaiaca,310040,MG,Sudeste,JANSSEN,66,0,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,46503,28223,18280
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,33712,24885,8564
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,16441,9142,7299
Açailândia,210005,MA,Nordeste,JANSSEN,2878,0,0
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3686,2234,1452
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,3251,1868,1383
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,2766,2434,332
Acajutiba,290030,BA,Nordeste,JANSSEN,206,0,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,23369,18941,4428
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,8392,4525,3867
Acará,150020,PA,Norte,JANSSEN,1128,0,0
Acará,150020,PA,Norte,PFIZER/BIONTECH,159,153,3
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,2581,1344,1237
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,616,334,282
Acarape,230015,CE,Nordeste,PFIZER/BIONTECH,1,1,0
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,8492,4370,4122
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,5984,3417,2567
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,72,63,9
Acaraú,230020,CE,Nordeste,JANSSEN,9,0,0
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,5017,2793,2224
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,3675,1883,1792
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,3194,2568,622
Acari,240010,RN,Nordeste,JANSSEN,161,0,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3969,2439,1530
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,2262,1543,718
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,2034,1042,992
Acauã,220005,PI,Nordeste,JANSSEN,140,0,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,4322,2552,1770
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1512,729,783
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,1089,662,416
Aceguá,430003,RS,Sul,JANSSEN,141,0,0
Acopiara,230030,CE,Nordeste,BUTANTAN/SINOVAC,10242,5227,5015
Acopiara,230030,CE,Nordeste,FIOCRUZ/ASTRAZENECA,6022,3598,2424
Acopiara,230030,CE,Nordeste,PFIZER/BIONTECH,20,1,19
Acorizal,510010,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3472,1814,1658
Acorizal,510010,MT,Centro-Oeste,BUTANTAN/SINOVAC,2004,1074,930
Acorizal,510010,MT,Centro-Oeste,PFIZER/BIONTECH,1765,1230,477
Acorizal,510010,MT,Centro-Oeste,JANSSEN,120,0,0
Acrelândia,120001,AC,Norte,FIOCRUZ/ASTRAZENECA,7435,3977,3457
Acrelândia,120001,AC,Norte,PFIZER/BIONTECH,3574,2481,1082
Acrelândia,120001,AC,Norte,BUTANTAN/SINOVAC,2630,1612,1018
Acrelândia,120001,AC,Norte,JANSSEN,205,0,0
Acreúna,520013,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11494,6397,5097
Acreúna,520013,GO,Centro-Oeste,PFIZER/BIONTECH,6785,5691,1070
Acreúna,520013,GO,Centro-Oeste,BUTANTAN/SINOVAC,6240,3337,2903
Acreúna,520013,GO,Centro-Oeste,JANSSEN,394,0,0
Açu,240020,RN,Nordeste,FIOCRUZ/ASTRAZENECA,26707,15922,10785
Açu,240020,RN,Nordeste,BUTANTAN/SINOVAC,16512,9415,7097
Açu,240020,RN,Nordeste,PFIZER/BIONTECH,14579,11579,2957
Açu,240020,RN,Nordeste,JANSSEN,874,54,0
Açucena,310050,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5341,3041,2300
Açucena,310050,MG,Sudeste,BUTANTAN/SINOVAC,3163,1733,1430
Açucena,310050,MG,Sudeste,PFIZER/BIONTECH,2778,2163,569
Açucena,310050,MG,Sudeste,JANSSEN,279,0,0
Adamantina,350010,SP,Sudeste,FIOCRUZ/ASTRAZENECA,25505,13990,11515
Adamantina,350010,SP,Sudeste,BUTANTAN/SINOVAC,20362,9966,10367
Adamantina,350010,SP,Sudeste,PFIZER/BIONTECH,9752,5565,4102
Adamantina,350010,SP,Sudeste,JANSSEN,921,0,0
Adelândia,520015,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1120,810,310
Adelândia,520015,GO,Centro-Oeste,BUTANTAN/SINOVAC,663,409,254
Adelândia,520015,GO,Centro-Oeste,PFIZER/BIONTECH,576,527,40
Adelândia,520015,GO,Centro-Oeste,JANSSEN,16,0,0
Adolfo,350020,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2912,1432,1480
Adolfo,350020,SP,Sudeste,BUTANTAN/SINOVAC,2867,1437,1425
Adolfo,350020,SP,Sudeste,PFIZER/BIONTECH,1286,813,469
Adolfo,350020,SP,Sudeste,JANSSEN,77,0,0
Adrianópolis,410020,PR,Sul,FIOCRUZ/ASTRAZENECA,4402,2609,1793
Adrianópolis,410020,PR,Sul,BUTANTAN/SINOVAC,2478,1301,1177
Adrianópolis,410020,PR,Sul,PFIZER/BIONTECH,1102,935,155
Adrianópolis,410020,PR,Sul,JANSSEN,75,0,0
Adustina,290035,BA,Nordeste,FIOCRUZ/ASTRAZENECA,10169,5338,4831
Adustina,290035,BA,Nordeste,BUTANTAN/SINOVAC,5392,2797,2595
Adustina,290035,BA,Nordeste,PFIZER/BIONTECH,4660,3704,953
Adustina,290035,BA,Nordeste,JANSSEN,200,0,0
Afogados Da Ingazeira,260010,PE,Nordeste,FIOCRUZ/ASTRAZENECA,17762,10043,7719
Afogados Da Ingazeira,260010,PE,Nordeste,BUTANTAN/SINOVAC,14270,7809,6461
Afogados Da Ingazeira,260010,PE,Nordeste,PFIZER/BIONTECH,10438,8264,2074
Afogados Da Ingazeira,260010,PE,Nordeste,JANSSEN,3677,0,0
Afonso Bezerra,240030,RN,Nordeste,FIOCRUZ/ASTRAZENECA,4299,2493,1806
Afonso Bezerra,240030,RN,Nordeste,BUTANTAN/SINOVAC,2891,1565,1326
Afonso Bezerra,240030,RN,Nordeste,PFIZER/BIONTECH,2527,2070,439
Afonso Bezerra,240030,RN,Nordeste,JANSSEN,98,1,0
Afonso Cláudio,320010,ES,Sudeste,FIOCRUZ/ASTRAZENECA,17317,9411,7905
Afonso Cláudio,320010,ES,Sudeste,BUTANTAN/SINOVAC,13420,7442,5978
Afonso Cláudio,320010,ES,Sudeste,PFIZER/BIONTECH,10637,7600,2952
Afonso Cláudio,320010,ES,Sudeste,JANSSEN,1326,0,0
Afonso Cunha,210010,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2816,1616,1200
Afonso Cunha,210010,MA,Nordeste,BUTANTAN/SINOVAC,2347,1248,1099
Afonso Cunha,210010,MA,Nordeste,JANSSEN,1596,0,0
Afonso Cunha,210010,MA,Nordeste,PFIZER/BIONTECH,978,938,4
Afrânio,260020,PE,Nordeste,FIOCRUZ/ASTRAZENECA,9730,5777,3953
Afrânio,260020,PE,Nordeste,PFIZER/BIONTECH,6530,4549,1895
Afrânio,260020,PE,Nordeste,BUTANTAN/SINOVAC,6482,3537,2945
Afrânio,260020,PE,Nordeste,JANSSEN,131,0,0
Afuá,150030,PA,Norte,FIOCRUZ/ASTRAZENECA,26191,19551,6640
Afuá,150030,PA,Norte,BUTANTAN/SINOVAC,2286,1173,1113
Afuá,150030,PA,Norte,PFIZER/BIONTECH,1524,1506,18
Afuá,150030,PA,Norte,JANSSEN,346,0,0
Agrestina,260030,PE,Nordeste,FIOCRUZ/ASTRAZENECA,12169,7842,4327
Agrestina,260030,PE,Nordeste,BUTANTAN/SINOVAC,7477,4297,3180
Agrestina,260030,PE,Nordeste,PFIZER/BIONTECH,5825,4822,1003
Agrestina,260030,PE,Nordeste,JANSSEN,194,0,0
Agricolândia,220010,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3053,1660,1393
Agricolândia,220010,PI,Nordeste,BUTANTAN/SINOVAC,2097,1150,947
Agricolândia,220010,PI,Nordeste,PFIZER/BIONTECH,1377,991,363
Agricolândia,220010,PI,Nordeste,JANSSEN,76,0,0
Agrolândia,420020,SC,Sul,FIOCRUZ/ASTRAZENECA,5718,2978,2740
Agrolândia,420020,SC,Sul,BUTANTAN/SINOVAC,3702,1884,1818
Agrolândia,420020,SC,Sul,PFIZER/BIONTECH,3672,2684,945
Agrolândia,420020,SC,Sul,JANSSEN,415,0,0
Agronômica,420030,SC,Sul,FIOCRUZ/ASTRAZENECA,3242,1720,1522
Agronômica,420030,SC,Sul,PFIZER/BIONTECH,2167,1464,621
Agronômica,420030,SC,Sul,BUTANTAN/SINOVAC,1937,999,938
Agronômica,420030,SC,Sul,JANSSEN,243,0,0
Água Azul Do Norte,150034,PA,Norte,FIOCRUZ/ASTRAZENECA,8585,4702,3883
Água Azul Do Norte,150034,PA,Norte,BUTANTAN/SINOVAC,3377,2068,1309
Água Azul Do Norte,150034,PA,Norte,PFIZER/BIONTECH,1241,882,355
Água Azul Do Norte,150034,PA,Norte,JANSSEN,484,0,0
Água Boa,310060,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5920,3484,2436
Água Boa,310060,MG,Sudeste,PFIZER/BIONTECH,4033,3122,898
Água Boa,310060,MG,Sudeste,BUTANTAN/SINOVAC,4029,2191,1838
Água Boa,310060,MG,Sudeste,JANSSEN,269,0,0
Água Boa,510020,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11536,6086,5450
Água Boa,510020,MT,Centro-Oeste,BUTANTAN/SINOVAC,11149,5971,5178
Água Boa,510020,MT,Centro-Oeste,PFIZER/BIONTECH,10008,7139,2721
Água Boa,510020,MT,Centro-Oeste,JANSSEN,705,0,0
Água Branca,220020,PI,Nordeste,FIOCRUZ/ASTRAZENECA,8932,5356,3576
Água Branca,220020,PI,Nordeste,BUTANTAN/SINOVAC,6283,3445,2838
Água Branca,220020,PI,Nordeste,PFIZER/BIONTECH,5166,4448,698
Água Branca,220020,PI,Nordeste,JANSSEN,310,0,0
Água Branca,250010,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4221,2501,1720
Água Branca,250010,PB,Nordeste,BUTANTAN/SINOVAC,3660,1950,1710
Água Branca,250010,PB,Nordeste,PFIZER/BIONTECH,2787,2321,460
Água Branca,250010,PB,Nordeste,JANSSEN,177,0,0
Água Branca,270010,AL,Nordeste,FIOCRUZ/ASTRAZENECA,11638,7138,4500
Água Branca,270010,AL,Nordeste,BUTANTAN/SINOVAC,8602,4447,4155
Água Branca,270010,AL,Nordeste,PFIZER/BIONTECH,1555,1481,4
Água Branca,270010,AL,Nordeste,JANSSEN,714,0,0
Água Clara,500020,MS,Centro-Oeste,BUTANTAN/SINOVAC,7520,4290,3230
Água Clara,500020,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,6239,3686,2553
Água Clara,500020,MS,Centro-Oeste,PFIZER/BIONTECH,5871,4357,1489
Água Clara,500020,MS,Centro-Oeste,JANSSEN,774,0,0
Água Comprida,310070,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1329,689,640
Água Comprida,310070,MG,Sudeste,BUTANTAN/SINOVAC,1043,527,516
Água Comprida,310070,MG,Sudeste,PFIZER/BIONTECH,807,576,231
Água Comprida,310070,MG,Sudeste,JANSSEN,40,0,0
Água Doce,420040,SC,Sul,FIOCRUZ/ASTRAZENECA,4213,2204,2009
Água Doce,420040,SC,Sul,BUTANTAN/SINOVAC,2547,1360,1187
Água Doce,420040,SC,Sul,PFIZER/BIONTECH,2027,1564,441
Água Doce,420040,SC,Sul,JANSSEN,224,0,0
Água Doce Do Maranhão,210015,MA,Nordeste,FIOCRUZ/ASTRAZENECA,4676,2892,1784
Água Doce Do Maranhão,210015,MA,Nordeste,PFIZER/BIONTECH,3466,3450,16
Água Doce Do Maranhão,210015,MA,Nordeste,BUTANTAN/SINOVAC,3442,1909,1533
Água Doce Do Maranhão,210015,MA,Nordeste,JANSSEN,96,0,0
Água Doce Do Norte,320016,ES,Sudeste,FIOCRUZ/ASTRAZENECA,5185,2941,2244
Água Doce Do Norte,320016,ES,Sudeste,BUTANTAN/SINOVAC,4690,2564,2126
Água Doce Do Norte,320016,ES,Sudeste,PFIZER/BIONTECH,4298,3315,961
Água Doce Do Norte,320016,ES,Sudeste,JANSSEN,356,0,0
Água Fria,290040,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3297,3167,130
Água Fria,290040,BA,Nordeste,BUTANTAN/SINOVAC,3245,2124,1121
Água Fria,290040,BA,Nordeste,PFIZER/BIONTECH,1503,1496,7
Água Fria,290040,BA,Nordeste,JANSSEN,151,0,0
Água Fria De Goiás,520017,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3463,1915,1548
Água Fria De Goiás,520017,GO,Centro-Oeste,PFIZER/BIONTECH,1526,1260,226
Água Fria De Goiás,520017,GO,Centro-Oeste,BUTANTAN/SINOVAC,1254,679,575
Água Fria De Goiás,520017,GO,Centro-Oeste,JANSSEN,89,0,0
Água Limpa,520020,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1589,844,745
Água Limpa,520020,GO,Centro-Oeste,BUTANTAN/SINOVAC,745,380,365
Água Limpa,520020,GO,Centro-Oeste,PFIZER/BIONTECH,288,273,15
Água Limpa,520020,GO,Centro-Oeste,JANSSEN,10,0,0
Água Nova,240040,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1743,919,824
Água Nova,240040,RN,Nordeste,BUTANTAN/SINOVAC,1485,750,735
Água Nova,240040,RN,Nordeste,PFIZER/BIONTECH,1247,1011,236
Água Nova,240040,RN,Nordeste,JANSSEN,61,0,0
Água Preta,260040,PE,Nordeste,FIOCRUZ/ASTRAZENECA,10682,7793,2889
Água Preta,260040,PE,Nordeste,PFIZER/BIONTECH,6087,5129,933
Água Preta,260040,PE,Nordeste,BUTANTAN/SINOVAC,5477,3161,2316
Água Preta,260040,PE,Nordeste,JANSSEN,257,0,0
Água Santa,430005,RS,Sul,FIOCRUZ/ASTRAZENECA,2246,1239,1007
Água Santa,430005,RS,Sul,BUTANTAN/SINOVAC,1409,774,635
Água Santa,430005,RS,Sul,PFIZER/BIONTECH,1113,784,315
Água Santa,430005,RS,Sul,JANSSEN,85,0,0
Aguaí,350030,SP,Sudeste,FIOCRUZ/ASTRAZENECA,20390,10162,10228
Aguaí,350030,SP,Sudeste,BUTANTAN/SINOVAC,20331,10434,9868
Aguaí,350030,SP,Sudeste,PFIZER/BIONTECH,10705,7091,3612
Aguaí,350030,SP,Sudeste,JANSSEN,1084,0,0
Aguanil,310080,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2895,1584,1311
Aguanil,310080,MG,Sudeste,BUTANTAN/SINOVAC,1926,964,962
Aguanil,310080,MG,Sudeste,PFIZER/BIONTECH,1544,1132,398
Aguanil,310080,MG,Sudeste,JANSSEN,105,0,0
Águas Belas,260050,PE,Nordeste,FIOCRUZ/ASTRAZENECA,24157,13323,10834
Águas Belas,260050,PE,Nordeste,BUTANTAN/SINOVAC,14848,7730,7118
Águas Belas,260050,PE,Nordeste,PFIZER/BIONTECH,11309,8305,3004
Águas Belas,260050,PE,Nordeste,JANSSEN,321,0,0
Águas Da Prata,350040,SP,Sudeste,FIOCRUZ/ASTRAZENECA,6319,3218,3101
Águas Da Prata,350040,SP,Sudeste,BUTANTAN/SINOVAC,4459,2180,2268
Águas Da Prata,350040,SP,Sudeste,PFIZER/BIONTECH,2204,1347,842
Águas Da Prata,350040,SP,Sudeste,JANSSEN,213,0,0
Águas De Chapecó,420050,SC,Sul,FIOCRUZ/ASTRAZENECA,3862,2074,1788
Águas De Chapecó,420050,SC,Sul,BUTANTAN/SINOVAC,2190,1112,1078
Águas De Chapecó,420050,SC,Sul,PFIZER/BIONTECH,1736,1315,359
Águas De Chapecó,420050,SC,Sul,JANSSEN,215,0,0
Águas De Lindóia,350050,SP,Sudeste,BUTANTAN/SINOVAC,12912,6644,6258
Águas De Lindóia,350050,SP,Sudeste,FIOCRUZ/ASTRAZENECA,11895,6483,5412
Águas De Lindóia,350050,SP,Sudeste,PFIZER/BIONTECH,5856,3614,2242
Águas De Lindóia,350050,SP,Sudeste,JANSSEN,504,0,0
Águas De Santa Bárbara,350055,SP,Sudeste,FIOCRUZ/ASTRAZENECA,3940,1955,1985
Águas De Santa Bárbara,350055,SP,Sudeste,BUTANTAN/SINOVAC,3779,1846,1928
Águas De Santa Bárbara,350055,SP,Sudeste,PFIZER/BIONTECH,1756,1280,476
Águas De Santa Bárbara,350055,SP,Sudeste,JANSSEN,134,0,0
Águas De São Pedro,350060,SP,Sudeste,BUTANTAN/SINOVAC,2842,1399,1443
Águas De São Pedro,350060,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2738,1358,1380
Águas De São Pedro,350060,SP,Sudeste,PFIZER/BIONTECH,1087,689,398
Águas De São Pedro,350060,SP,Sudeste,JANSSEN,100,0,0
Águas Formosas,310090,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6110,4860,1250
Águas Formosas,310090,MG,Sudeste,BUTANTAN/SINOVAC,4566,2399,2167
Águas Formosas,310090,MG,Sudeste,PFIZER/BIONTECH,2228,2129,99
Águas Formosas,310090,MG,Sudeste,JANSSEN,384,0,0
Águas Frias,420055,SC,Sul,FIOCRUZ/ASTRAZENECA,1700,905,795
Águas Frias,420055,SC,Sul,BUTANTAN/SINOVAC,1349,687,662
Águas Frias,420055,SC,Sul,PFIZER/BIONTECH,833,645,188
Águas Frias,420055,SC,Sul,JANSSEN,85,0,0
Águas Lindas De Goiás,520025,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,107107,71467,35640
Águas Lindas De Goiás,520025,GO,Centro-Oeste,BUTANTAN/SINOVAC,93978,54475,39503
Águas Lindas De Goiás,520025,GO,Centro-Oeste,JANSSEN,10411,0,0
Águas Lindas De Goiás,520025,GO,Centro-Oeste,PFIZER/BIONTECH,4331,4323,8
Águas Mornas,420060,SC,Sul,FIOCRUZ/ASTRAZENECA,4374,2262,2112
Águas Mornas,420060,SC,Sul,BUTANTAN/SINOVAC,2613,1346,1267
Águas Mornas,420060,SC,Sul,PFIZER/BIONTECH,2108,1388,701
Águas Mornas,420060,SC,Sul,JANSSEN,230,0,0
Águas Vermelhas,310100,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5876,3448,2428
Águas Vermelhas,310100,MG,Sudeste,BUTANTAN/SINOVAC,3789,2042,1747
Águas Vermelhas,310100,MG,Sudeste,PFIZER/BIONTECH,3242,2675,533
Águas Vermelhas,310100,MG,Sudeste,JANSSEN,203,0,0
Agudo,430010,RS,Sul,FIOCRUZ/ASTRAZENECA,10597,5644,4953
Agudo,430010,RS,Sul,PFIZER/BIONTECH,5116,3748,1365
Agudo,430010,RS,Sul,BUTANTAN/SINOVAC,5083,2595,2488
Agudo,430010,RS,Sul,JANSSEN,441,0,0
Agudos,350070,SP,Sudeste,BUTANTAN/SINOVAC,26896,13859,13035
Agudos,350070,SP,Sudeste,FIOCRUZ/ASTRAZENECA,26349,15047,11302
Agudos,350070,SP,Sudeste,PFIZER/BIONTECH,11474,7745,3661
Agudos,350070,SP,Sudeste,JANSSEN,919,0,0
Agudos Do Sul,410030,PR,Sul,FIOCRUZ/ASTRAZENECA,6838,3909,2929
Agudos Do Sul,410030,PR,Sul,BUTANTAN/SINOVAC,3097,1668,1429
Agudos Do Sul,410030,PR,Sul,PFIZER/BIONTECH,2668,2063,601
Agudos Do Sul,410030,PR,Sul,JANSSEN,555,0,0
Águia Branca,320013,ES,Sudeste,FIOCRUZ/ASTRAZENECA,5364,2874,2490
Águia Branca,320013,ES,Sudeste,PFIZER/BIONTECH,4417,3196,1158
Águia Branca,320013,ES,Sudeste,BUTANTAN/SINOVAC,3997,2170,1827
Águia Branca,320013,ES,Sudeste,JANSSEN,343,0,0
Aguiar,250020,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2791,1726,1065
Aguiar,250020,PB,Nordeste,BUTANTAN/SINOVAC,2021,1053,968
Aguiar,250020,PB,Nordeste,PFIZER/BIONTECH,1089,974,106
Aguiar,250020,PB,Nordeste,JANSSEN,80,0,0
Aguiarnópolis,170030,TO,Norte,FIOCRUZ/ASTRAZENECA,2424,1490,934
Aguiarnópolis,170030,TO,Norte,BUTANTAN/SINOVAC,1316,746,570
Aguiarnópolis,170030,TO,Norte,JANSSEN,891,0,0
Aguiarnópolis,170030,TO,Norte,PFIZER/BIONTECH,678,669,3
Aimorés,310110,MG,Sudeste,FIOCRUZ/ASTRAZENECA,14929,9272,5657
Aimorés,310110,MG,Sudeste,BUTANTAN/SINOVAC,7471,3779,3692
Aimorés,310110,MG,Sudeste,PFIZER/BIONTECH,5032,3603,1365
Aimorés,310110,MG,Sudeste,JANSSEN,650,0,0
Aiquara,290060,BA,Nordeste,FIOCRUZ/ASTRAZENECA,2330,1251,1079
Aiquara,290060,BA,Nordeste,BUTANTAN/SINOVAC,1715,877,838
Aiquara,290060,BA,Nordeste,PFIZER/BIONTECH,1167,899,255
Aiquara,290060,BA,Nordeste,JANSSEN,55,0,0
Aiuaba,230040,CE,Nordeste,BUTANTAN/SINOVAC,3406,1922,1484
Aiuaba,230040,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2286,1516,770
Aiuaba,230040,CE,Nordeste,PFIZER/BIONTECH,203,203,0
Aiuruoca,310120,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3600,2027,1573
Aiuruoca,310120,MG,Sudeste,BUTANTAN/SINOVAC,3010,1574,1436
Aiuruoca,310120,MG,Sudeste,PFIZER/BIONTECH,2052,1670,305
Aiuruoca,310120,MG,Sudeste,JANSSEN,78,0,0
Ajuricaba,430020,RS,Sul,FIOCRUZ/ASTRAZENECA,4014,2176,1838
Ajuricaba,430020,RS,Sul,BUTANTAN/SINOVAC,3002,1640,1362
Ajuricaba,430020,RS,Sul,PFIZER/BIONTECH,2007,1461,546
Ajuricaba,430020,RS,Sul,JANSSEN,201,0,0
Alagoa,310130,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2072,1040,1032
Alagoa,310130,MG,Sudeste,BUTANTAN/SINOVAC,1108,565,543
Alagoa,310130,MG,Sudeste,PFIZER/BIONTECH,799,534,265
Alagoa,310130,MG,Sudeste,JANSSEN,45,0,0
