"Município";"Quantidade existente"
"351840 Guaratinguetá";270
"260005 Abreu e Lima";269
"430700 Erechim";268
"430160 Bagé";268
"352310 Itaquaquecetuba";267
"411850 Pato Branco";267
"314700 Paracatu";266
"220390 Floriano";263
"410140 Apucarana";262
"412820 União da Vitória";262
"351050 Caraguatatuba";261
"291072 Eunápolis";260
"313170 Itabira";260
"210140 Balsas";260
"330030 Barra do Piraí";260
"521310 Mineiros";259
"314480 Nova Lima";259
"355100 São Vicente";258
"330270 Maricá";258
"421480 Rio do Sul";258
"261220 Salgueiro";257
"313820 Lavras";254
"520510 Catalão";253
"320320 Linhares";253
"411150 Ivaiporã";253
"410840 Francisco Beltrão";248
"510250 Cáceres";248
"210860 Pinheiro";248
"520860 Goianésia";247
"317130 Viçosa";245
"210005 Açailândia";243
"230250 Brejo Santo";241
"110002 Ariquemes";240
"120020 Cruzeiro do Sul";240
"355700 Votorantim";237
"350010 Adamantina";235
"430300 Cachoeira do Sul";234
"520025 Águas Lindas de Goiás";234
"431750 Santo Ângelo";234
"410640 Cornélio Procópio";233
"410430 Campo Mourão";233
"230550 Iguatu";232
"110030 Vilhena";232
"320040 Anchieta";229
"355240 Sumaré";228
"313420 Ituiutaba";227
"316250 São João del Rei";227
"355710 Votuporanga";227
"240325 Parnamirim";226
"260110 Araripina";226
"211120 São José de Ribamar";225
"293050 Serrinha";224
"431720 Santa Rosa";222
"290520 Caetité";222
"290070 Alagoinhas";221
"250370 Cajazeiras";221
"353470 Ourinhos";220
"355250 Suzano";219
"431240 Montenegro";216
"330575 Tanguá";214
"290840 Conceição do Coité";214
"510025 Alta Floresta";214
"412240 Rolândia";213
"500320 Corumbá";213
"150550 Paragominas";212
"220220 Campo Maior";212
"352430 Jaboticabal";212
"431870 São Leopoldo";209
"311330 Carangola";208
"250630 Guarabira";207
"354580 Santa Bárbara d'Oeste";206
"352450 Jaci";206
"312160 Diamantina";205
"315780 Santa Luzia";204
"210467 Governador Nunes Freire";204
"261450 Surubim";203
"210480 Grajaú";203
"231180 Russas";202
"280350 Lagarto";202
"350970 Campos do Jordão";201
"351970 Ibiúna";201
"430610 Cruz Alta";200
"311340 Caratinga";200
"210570 Lago da Pedra";199
"510792 Sorriso";199
"354910 São João da Boa Vista";199
"150220 Capanema";199
"330020 Araruama";198
"354260 Registro";197
"353080 Mogi Mirim";196
"313940 Manhuaçu";195
"351390 Divinolândia";194
"420900 Joaçaba";194
"430920 Gravataí";194
"412710 Telêmaco Borba";194
"350170 Américo Brasiliense";193
"350410 Atibaia";192
"500830 Três Lagoas";192
"521930 Santa Helena de Goiás";191
"230640 Itapipoca";190
"500630 Paranaíba";190
"210910 Presidente Dutra";189
"351570 Ferraz de Vasconcelos";189
"411820 Paranaguá";189
"170950 Gurupi";189
"431830 São Gabriel";188
"354330 Ribeirão Pires";188
"521190 Jataí";188
"291750 Jacobina";187
"317040 Unaí";187
"240940 Pau dos Ferros";185
"291170 Guanambi";184
"240200 Caicó";184
"352930 Matão";182
"251620 Sousa";181
"312090 Curvelo";180
"330285 Mesquita";180
"353930 Pirassununga";180
"210820 Pedreiras";180
"292530 Porto Seguro";179
"432000 Sapucaia do Sul";179
"150210 Cametá";178
"150800 Tomé-Açu";177
"280290 Itabaiana";177
"330470 Santo Antônio de Pádua";176
"313240 Itajubá";176
"350850 Caçapava";176
"291460 Irecê";175
"150180 Breves";175
"280210 Estância";174
"310510 Bambuí";174
"292400 Paulo Afonso";174
"211220 Timon";173
"412410 Santo Antônio da Platina";172
"260190 Bezerros";172
"430040 Alegrete";172
"431880 São Lourenço do Sul";172
"230410 Crateús";171
"510704 Primavera do Leste";171
"330200 Itaguaí";171
"521150 Itumbiara";170
"412550 São José dos Pinhais";169
"330250 Magé";167
"420430 Concórdia";167
"210320 Chapadinha";167
"353620 Pariquera-Açu";166
"352720 Lorena";166
"330510 São João de Meriti";166
"431710 Sant'Ana do Livramento";166
"352240 Itapeva";166
"510795 Tangará da Serra";165
"350900 Caieiras";165
"522170 Uruana";165
"411070 Irati";165
"351630 Francisco Morato";164
"150230 Capitão Poço";164
"150442 Marituba";164
"314810 Patrocínio";164
"411580 Medianeira";162
"352230 Itapetininga";162
"260120 Arcoverde";162
"500660 Ponta Porã";161
"432240 Uruguaiana";160
"350450 Avaré";159
"230870 Morada Nova";158
"130340 Parintins";158
"420320 Camboriú";157
"411840 Paranavaí";157
"520450 Caldas Novas";157
"313510 Janaúba";156
"411320 Lapa";156
"330060 Bom Jesus do Itabapoana";155
"431140 Lajeado";154
"314610 Ouro Preto";154
"291955 Luís Eduardo Magalhães";153
"350610 Bebedouro";153
"230580 Ipu";153
"210160 Barra do Corda";153
"411460 Marechal Cândido Rondon";152
"352480 Jales";151
"171820 Porto Nacional";151
"353730 Penápolis";151
"421950 Xanxerê";151
"510622 Nova Mutum";150
"310350 Araguari";150
"350920 Cajamar";147
"292520 Pojuca";147
"315700 Salinas";147
"432250 Vacaria";147
"410550 Cianorte";147
"211003 Santa Luzia do Paruá";147
"521250 Luziânia";147
"350650 Birigui";146
"270630 Palmeira dos Índios";146
"315460 Ribeirão das Neves";146
"150730 São Félix do Xingu";145
"430770 Esteio";145
"354520 Salto";145
"351340 Cruzeiro";144
"500110 Aquidauana";143
"411350 Loanda";143
"150130 Barcarena";143
"351440 Dracena";143
"320470 São Gabriel da Palha";142
"355620 Valinhos";142
"290160 Antas";142
"260620 Goiana";142
"110015 Ouro Preto do Oeste";141
"261250 Santa Cruz do Capibaribe";141
"315120 Pirapora";141
"430310 Cachoeirinha";141
"350940 Cajuru";140
"430470 Carazinho";140
"260010 Afogados da Ingazeira";140
"421550 Santa Cecília";140
"351350 Cubatão";139
"270930 União dos Palmares";138
"316930 Três Corações";137
"431890 São Luiz Gonzaga";137
"330185 Guapimirim";137
"261530 Timbaúba";137
"355170 Sertãozinho";136
"521850 Quirinópolis";136
"420480 Curitibanos";136
"421930 Videira";135
"261060 Paudalho";135
"351550 Fernandópolis";135
"354940 São Joaquim da Barra";135
"352210 Itanhaém";135
"260940 Moreno";135
"230280 Canindé";135
"421120 Morro da Fumaça";135
"431800 São Borja";133
"241120 Santa Cruz";133
"150330 Igarapé-Miri";133
"270800 Santana do Ipanema";133
"350590 Batatais";133
"314310 Monte Carmelo";133
"231330 Tauá";131
"171610 Paraíso do Tocantins";131
"313620 João Monlevade";131
"521010 Ipameri";130
"230770 Maranguape";129
"431840 São Jerônimo";129
"330414 Queimados";129
"260890 Limoeiro";129
"510515 Juína";129
"353260 Nhandeara";129
"421650 São Joaquim";129
"412625 Sarandi";129
"354970 São José do Rio Pardo";127
"355060 São Roque";127
"412060 Prudentópolis";127
"410980 Ibiporã";127
"350210 Andradina";126
"316940 Três Pontas";126
"230100 Aquiraz";126
"352680 Lençóis Paulista";126
"292800 Santaluz";126
"421010 Mafra";125
"353050 Mococa";125
"355150 Serrana";125
"521120 Itapuranga";124
"240050 Alexandria";124
"355370 Taquaritinga";124
"291390 Ipiaú";124
"270860 São Miguel dos Campos";124
"230110 Aracati";124
"260030 Agrestina";123
"210960 Rosário";123
"231130 Quixadá";123
"521450 Nerópolis";123
"150215 Canaã dos Carajás";123
"320060 Aracruz";123
"352670 Leme";122
"431990 Sapiranga";122
"520910 Goiatuba";121
"311530 Cataguases";121
"520800 Formosa";121
"150380 Jacundá";121
"292630 Riachão do Jacuípe";121
"432260 Venâncio Aires";121
"510525 Lucas do Rio Verde";121
"293290 Valença";121
"292720 Ruy Barbosa";120
"352340 Itatiba";120
"312510 Extrema";120
"352410 Ituverava";120
"230428 Eusébio";120
"210340 Coelho Neto";120
"430350 Camaquã";120
"430780 Estrela";120
"240310 Currais Novos";120
"410490 Castro";119
"150840 Xinguara";119
"410580 Colombo";119
"150270 Conceição do Araguaia";119
"421720 São Miguel do Oeste";119
"330430 Rio Bonito";118
"291760 Jaguaquara";117
"430660 Dom Pedrito";117
"210090 Araioses";117
"411180 Jacarezinho";117
"430680 Encantado";117
"210790 Passagem Franca";116
"314710 Pará de Minas";116
"420140 Araranguá";116
"411330 Laranjeiras do Sul";115
"310860 Brasília de Minas";115
"521975 Santo Antônio do Descoberto";115
"150812 Ulianópolis";115
"510320 Colíder";115
"260400 Carpina";114
"293010 Senhor do Bonfim";114
"110010 Guajará-Mirim";114
"521020 Iporá";114
"330452 Rio das Ostras";114
"260990 Ouricuri";113
"220700 Oeiras";113
"410240 Bandeirantes";112
"261100 Petrolândia";112
"292880 Santo Estêvão";112
"290460 Brumado";112
"231340 Tianguá";112
"261090 Pesqueira";112
"291470 Itaberaba";111
"330480 São Fidélis";111
"130190 Itacoatiara";110
"313380 Itaúna";110
"500100 Aparecida do Taboado";110
"430790 Farroupilha";110
"352044 Ilha Solteira";110
"211280 Viana";110
"353130 Monte Alto";109
"411420 Mandaguari";109
"350250 Aparecida";109
"210370 Cururupu";109
"270670 Penedo";109
"412570 São Miguel do Iguaçu";108
"311120 Campo Belo";108
"431610 Ronda Alta";108
"315670 Sabará";108
"351040 Capivari";108
"510180 Barra do Garças";108
"316370 São Lourenço";107
"354680 Santa Isabel";107
"431370 Palmeira das Missões";107
"432070 Sobradinho";107
"150050 Almeirim";106
"410720 Dois Vizinhos";106
"412800 Ubiratã";106
"421770 Sombrio";106
"355400 Tatuí";105
"312610 Formiga";105
"320506 Venda Nova do Imigrante";105
"521000 Inhumas";105
"130420 Tefé";105
"410860 Goioerê";105
"521460 Niquelândia";105
"431460 Piratini";105
"130120 Coari";105
"421725 São Pedro de Alcântara";105
"314560 Oliveira";105
"150618 Rondon do Pará";105
"250890 Mamanguape";104
"430450 Canguçu";104
"430420 Candelária";104
"432190 Três Passos";104
"431180 Marau";104
"521308 Minaçu";104
"230030 Acopiara";104
"150390 Juruti";104
"311940 Coronel Fabriciano";103
"330370 Paraíba do Sul";103
"353350 Novo Horizonte";103
"314590 Ouro Branco";103
"354220 Rancharia";103
"330080 Cachoeiras de Macacu";103
"430910 Gramado";103
"351960 Ibitinga";103
"241220 São José de Mipibu";102
"420940 Laguna";102
"320190 Domingos Martins";102
"316800 Taiobeiras";101
"410590 Colorado";101
"430850 Frederico Westphalen";101
"292600 Remanso";101
"313840 Leopoldina";100
"251140 Picuí";100
"431405 Parobé";100
"351907 Hortolândia";100
"420590 Gaspar";100
"420300 Caçador";100
"293220 Ubaitaba";100
"410370 Cambé";100
"290750 Catu";100
"410360 Cambará";100
"250460 Conde";100
"150808 Tucumã";99
"210350 Colinas";99
"421360 Porto União";99
"220840 Piripiri";99
"350390 Arujá";98
"353430 Orlândia";98
"510030 Alto Araguaia";98
"521380 Morrinhos";98
"353710 Pedreira";98
"260640 Gravatá";98
"510700 Poxoréo";98
"353550 Paraguaçu Paulista";97
"353650 Paulínia";97
"292200 Mucuri";97
"261370 São Lourenço da Mata";97
"411960 Pitanga";97
"500620 Nova Andradina";97
"150040 Alenquer";97
"431570 Rio Pardo";97
"354640 Santa Cruz do Rio Pardo";96
"241200 São Gonçalo do Amarante";96
"330550 Saquarema";96
"431640 Rosário do Sul";96
"421580 São Bento do Sul";96
"432080 Soledade";96
"290650 Candeias";96
"354150 Presidente Venceslau";96
"290850 Conceição do Jacuípe";95
"420750 Indaial";95
"260140 Barreiros";95
"260170 Belo Jardim";95
"432140 Tenente Portela";95
"292990 Seabra";95
"313950 Manhumirim";95
"292660 Ribeira do Pombal";95
"522020 São Miguel do Araguaia";95
"352470 Jaguariúna";94
"431010 Igrejinha";94
"320332 Marataízes";94
"110028 Rolim de Moura";94
"432160 Tramandaí";94
"251210 Pombal";94
"160060 Santana";93
"293360 Xique-Xique";93
"312870 Guaxupé";93
"500330 Coxim";93
"355540 Ubatuba";92
"230260 Camocim";92
"431740 Santiago";92
"432090 Tapejara";92
"421003 Luzerna";91
"411930 Pinhão";91
"313250 Itamarandiba";91
"431950 São Sebastião do Caí";91
"350530 Barra Bonita";91
"420700 Içara";91
"291290 Ibirataia";91
