"Município";"Quantidade existente"
"290687 Capim Grosso";57
"432170 Três Coroas";57
"350220 Angatuba";57
"420830 Itapema";57
"292700 Rio Real";57
"411440 Mangueirinha";57
"211160 São Raimundo das Mangabeiras";57
"170930 Guaraí";57
"231410 Viçosa do Ceará";57
"290100 Amargosa";57
"510020 Água Boa";57
"260280 Buíque";57
"430600 Crissiumal";57
"330400 Piraí";57
"292170 Morro do Chapéu";56
"410170 Araruna";56
"280590 Riachuelo";56
"431790 Santo Cristo";56
"313900 Machado";56
"315400 Raul Soares";56
"311000 Caeté";56
"354770 Santo Anastácio";56
"261500 Taquaritinga do Norte";56
"412150 Rebouças";56
"210845 Peritoró";56
"130240 Lábrea";56
"150616 Rio Maria";56
"330205 Italva";56
"410570 Clevelândia";56
"211170 São Vicente Ferrer";56
"230425 Cruz";56
"350270 Apiaí";56
"320210 Ecoporanga";56
"316710 Serro";56
"316970 Turmalina";56
"316290 São João Nepomuceno";56
"311230 Capelinha";55
"430150 Augusto Pestana";55
"431940 São Pedro do Sul";55
"412200 Rio Azul";55
"292810 Santa Maria da Vitória";55
"350070 Agudos";55
"421170 Orleans";55
"520330 Bela Vista de Goiás";55
"210800 Pastos Bons";55
"316110 São Francisco";55
"355630 Valparaíso";55
"420850 Ituporanga";55
"430370 Campina das Missões";55
"260610 Glória do Goitá";55
"251230 Princesa Isabel";55
"421150 Nova Trento";55
"221130 Valença do Piauí";55
"354070 Porto Ferreira";55
"432040 Serafina Corrêa";55
"355450 Tietê";55
"240890 Parelhas";55
"240710 Macaíba";55
"230710 Jardim";54
"230540 Icó";54
"293077 Sobradinho";54
"420840 Itapiranga";54
"320230 Guaçuí";54
"110009 Espigão D'Oeste";54
"431080 Ivoti";54
"292340 Palmas de Monte Alto";54
"412180 Ribeirão Claro";54
"431290 Nova Bassano";54
"354020 Pontal";54
"150760 São Miguel do Guamá";54
"412660 Siqueira Campos";54
"354430 Roseira";54
"291600 Itanhém";54
"150506 Novo Repartimento";54
"313720 Lagoa da Prata";54
"291650 Itapicuru";54
"311750 Conceição do Mato Dentro";54
"260020 Afrânio";54
"211110 São João dos Patos";54
"421790 Tangará";54
"313350 Itapecerica";54
"270240 Delmiro Gouveia";54
"500375 Eldorado";53
"500500 Jardim";53
"231270 Senador Pompeu";53
"320340 Mimoso do Sul";53
"412350 Santa Helena";53
"211000 Santa Luzia";53
"430520 Cerro Largo";53
"352570 José Bonifácio";53
"412796 Turvo";53
"150370 Itupiranga";53
"260720 Ipojuca";53
"270550 Murici";53
"310110 Aimorés";53
"431850 São José do Norte";53
"431860 São José do Ouro";53
"520440 Caiapônia";53
"292950 São Sebastião do Passé";53
"330380 Paraty";53
"260210 Bom Conselho";53
"260050 Águas Belas";52
"260230 Bonito";52
"430760 Estância Velha";52
"421750 Seara";52
"210170 Barreirinhas";52
"210675 Miranda do Norte";52
"353740 Pereira Barreto";52
"521760 Planaltina";52
"521730 Pirenópolis";52
"150405 Mãe do Rio";52
"211150 São Mateus do Maranhão";52
"510787 Sapezal";52
"316840 Tarumirim";52
"251650 Taperoá";52
"230210 Baturité";52
"211240 Turiaçu";52
"211250 Tutóia";52
"221070 Simões";52
"313120 Ipanema";52
"316280 São João Evangelista";52
"431310 Nova Palma";52
"430820 Flores da Cunha";52
"431600 Rolante";52
"291610 Itaparica";52
"354530 Salto de Pirapora";52
"431190 Marcelino Ramos";52
"260900 Macaparana";52
"270640 Pão de Açúcar";52
"351130 Cedral";52
"211210 Timbiras";51
"410970 Ibaiti";51
"431590 Rodeio Bonito";51
"320270 Itaguaçu";51
"431670 Santa Bárbara do Sul";51
"354120 Presidente Bernardes";51
"211400 Zé Doca";51
"431110 Jaguari";51
"520995 Indiara";51
"316210 São Gotardo";51
"315690 Sacramento";51
"320080 Baixo Guandu";51
"431550 Restinga Seca";51
"311160 Campos Gerais";51
"350520 Bariri";51
"431450 Pinheiro Machado";51
"210780 Parnarama";51
"430010 Agudo";51
"430810 Feliz";51
"261300 São Bento do Una";51
"250920 Massaranduba";51
"231400 Várzea Alegre";51
"231050 Pedra Branca";51
"430080 Antônio Prado";51
"290500 Caculé";51
"420550 Fraiburgo";51
"320313 João Neiva";51
"314320 Monte Santo de Minas";50
"314400 Mutum";50
"320020 Alegre";50
"313780 Lambari";50
"313770 Lajinha";50
"260040 Água Preta";50
"353950 Pitangueiras";50
"355720 Chavantes";50
"412380 Santa Izabel do Oeste";50
"130270 Manicoré";50
"270380 Joaquim Gomes";50
"150277 Curionópolis";50
"410390 Campina da Lagoa";50
"110006 Colorado do Oeste";50
"316040 Santo Antônio do Monte";50
"315720 Santa Bárbara";50
"412560 São Mateus do Sul";50
"150470 Moju";50
"314410 Muzambinho";50
"314600 Ouro Fino";50
"315140 Pitangui";50
"270690 Pilar";50
"314990 Perdões";50
"220190 Bom Jesus";50
"291915 Lapão";50
"310630 Belo Oriente";50
"231160 Redenção";50
"310780 Bom Jesus do Galho";50
"316920 Tombos";50
"351020 Capão Bonito";50
"292580 Queimadas";50
"292250 Nazaré";50
"410960 Guaratuba";50
"221110 União";50
"320245 Ibatiba";50
"230120 Aracoiaba";50
"251200 Pocinhos";50
"312670 Francisco Sá";50
"311930 Coromandel";50
"210660 Matões";50
"411910 Piên";50
"210745 Olinda Nova do Maranhão";50
"311840 Conselheiro Pena";50
"291580 Itambé";50
"317120 Vespasiano";50
"211230 Tuntum";50
"352190 Itajobi";50
"211100 São João Batista";50
"240060 Almino Afonso";50
"432020 Seberi";50
"420650 Guaramirim";50
"521770 Pontalina";50
"421380 Praia Grande";50
"421320 Pomerode";50
"421080 Meleiro";50
"420260 Bom Retiro";50
"510623 Nova Olímpia";50
"432290 Viadutos";50
"420380 Canoinhas";50
"522040 São Simão";50
"432200 Triunfo";50
"421420 Quilombo";50
"430900 Giruá";50
"431470 Planalto";50
"430690 Encruzilhada do Sul";50
"431085 Jaboticaba";50
"431420 Pedro Osório";50
"500540 Maracaju";50
"430030 Alecrim";50
"421620 São Francisco do Sul";50
"431843 São João do Polêsine";50
"430645 Dois Lajeados";50
"431500 Porto Lucena";50
"431510 Porto Xavier";50
"230270 Campos Sales";49
"430380 Campinas do Sul";49
"421160 Nova Veneza";49
"110001 Alta Floresta D'Oeste";49
"355160 Serra Negra";49
"420880 Jaguaruna";49
"430020 Ajuricaba";49
"150590 Porto de Moz";49
"421470 Rio dos Cedros";49
"432270 Vera Cruz";49
"231030 Parambu";49
"310280 Andrelândia";49
"431360 Paim Filho";49
"230860 Monsenhor Tabosa";49
"412190 Ribeirão do Pinhal";49
"291040 Encruzilhada";49
"292905 São Félix do Coribe";49
"330310 Natividade";49
"140047 Rorainópolis";49
"432110 Tapes";49
"411670 Nova Aurora";49
"315420 Resende Costa";49
"130170 Humaitá";49
"280570 Propriá";49
"312390 Entre Rios de Minas";49
"432050 Sertão";49
"311410 Carmo de Minas";49
"355380 Taquarituba";49
"330515 São José do Vale do Rio Preto";49
"410190 Assaí";49
"430530 Chapada";49
"315170 Poço Fundo";49
"290780 Cícero Dantas";49
"431515 Progresso";49
"310590 Barroso";49
"311060 Cambuí";49
"352090 Ipaussu";49
"317180 Virginópolis";49
"314760 Passa Quatro";49
"270290 Girau do Ponciano";48
"150790 Soure";48
"210945 Raposa";48
"314220 Miraí";48
"420470 Cunha Porã";48
"412035 Pranchita";48
"316270 São João do Paraíso";48
"510410 Guarantã do Norte";48
"290210 Araci";48
"313090 Inhapim";48
"350700 Boituva";48
"411560 Matelândia";48
"110013 Machadinho D'Oeste";48
"210043 Alto Alegre do Maranhão";48
"280480 Nossa Senhora do Socorro";48
"411727 Nova Tebas";48
"355680 Viradouro";48
"330023 Armação dos Búzios";48
"432067 Sinimbu";48
"315960 Santa Rita do Sapucaí";48
"421875 Tunápolis";48
"500568 Mundo Novo";48
"351770 Guará";48
"210100 Arari";48
"351220 Conchal";48
"330530 São Sebastião do Alto";48
"312780 Grão Mogol";48
"355510 Tupi Paulista";48
"421890 Urubici";48
"432195 Trindade do Sul";48
"110018 Pimenta Bueno";48
"210770 Paraibano";48
"350880 Cafelândia";48
"240020 Açu";48
"430130 Arroio Grande";48
"240610 Jucurutu";48
"351150 Cerquilho";48
"250180 Bayeux";48
"110025 Presidente Médici";48
"411605 Missal";48
"314140 Medina";48
"230470 Granja";48
"412840 Uraí";48
"411430 Mandirituba";48
"250700 Itaporanga";48
"211300 Vitorino Freire";48
"312940 Ibertioga";48
"230750 Lavras da Mangabeira";47
"251690 Uiraúna";47
"241150 Santo Antônio";47
"310100 Águas Vermelhas";47
"120038 Plácido de Castro";47
"410765 Fazenda Rio Grande";47
"317100 Vazante";47
"312420 Espera Feliz";47
"251390 São Bento";47
"313880 Luz";47
"130130 Codajás";47
"291440 Iraquara";47
"311510 Cássia";47
"351600 Flórida Paulista";47
"421970 Xaxim";47
"430930 Guaíba";47
"311320 Carandaí";47
"291070 Euclides da Cunha";47
"172090 Taguatinga";47
"313300 Itamonte";47
"293250 Una";47
"352010 Igarapava";47
"270570 Olho d'Água das Flores";47
"316200 São Gonçalo do Sapucaí";47
"251120 Pedras de Fogo";47
"351200 Colina";47
"230590 Ipueiras";47
"250030 Alagoa Grande";46
"330300 Miracema";46
"290680 Cansanção";46
"352640 Laranjal Paulista";46
"230160 Assaré";46
"510350 Diamantino";46
"352600 Junqueirópolis";46
"510550 Vila Bela da Santíssima Trindade";46
"210290 Carutapera";46
"291465 Itabela";46
"522100 Taquaral de Goiás";46
"310020 Abaeté";46
"315220 Porteirinha";46
"311370 Carlos Chagas";46
"260730 Ipubi";45
"430535 Charqueadas";45
"292240 Mutuípe";45
"330280 Mendes";45
"240930 Patu";45
"130100 Carauari";45
"313220 Itaguara";45
"260450 Chã Grande";45
"420350 Campo Erê";45
"430950 Guarani das Missões";45
"280300 Itabaianinha";45
"291700 Itiúba";45
"220280 Conceição do Canindé";45
"351660 Gália";45
"352920 Martinópolis";45
"430240 Bom Retiro do Sul";45
"316500 São Tiago";45
"220050 Amarante";45
"291710 Itororó";45
"150320 Igarapé-Açu";45
"430440 Canela";45
"420870 Jacinto Machado";45
"330411 Porto Real";45
"210590 Lago Verde";45
"110008 Costa Marques";45
"521483 Nova Crixás";45
"293030 Serra Dourada";45
"355020 São Miguel Arcanjo";45
"351370 Descalvado";44
"314260 Monsenhor Paulo";44
"210400 Esperantinópolis";44
"421400 Presidente Getúlio";44
"290350 Belo Campo";44
"521280 Mara Rosa";44
"311660 Cláudio";44
"261540 Toritama";44
"210230 Buriti Bravo";44
"210690 Monção";44
"310190 Alpinópolis";44
"270040 Atalaia";44
"293350 Wenceslau Guimarães";44
"313890 Machacalis";44
"510560 Matupá";44
"150085 Anapu";44
"150178 Breu Branco";44
"310990 Caetanópolis";44
"231350 Trairi";44
"353940 Piratininga";44
"240450 Guamaré";44
"500769 São Gabriel do Oeste";44
"110014 Nova Brasilândia D'Oeste";44
"230075 Amontada";44
"291400 Ipirá";44
"110032 São Miguel do Guaporé";44
"330090 Cambuci";44
"411800 Paraíso do Norte";44
"291240 Ibipeba";44
"420150 Armazém";43
"150190 Bujaru";43
"315920 Santa Rita de Caldas";43
"290800 Coaraci";43
"230930 Nova Russas";43
"150835 Vitória do Xingu";43
"350630 Bernardino de Campos";43
"420110 Anitápolis";43
"314470 Nova Era";43
"410290 Bituruna";43
"421175 Otacílio Costa";43
"430235 Bom Princípio";43
"353340 Nova Odessa";43
"220570 Luís Correia";43
"260530 Exu";42
"420010 Abelardo Luz";42
"290760 Central";42
"270710 Piranhas";42
"430003 Aceguá";42
"210407 Feira Nova do Maranhão";42
"230500 Guaraciaba do Norte";42
"510642 Peixoto de Azevedo";42
"310950 Cabo Verde";42
"315680 Sabinópolis";42
"211270 Vargem Grande";42
"311300 Caraí";42
"430755 Estação";42
"420500 Dionísio Cerqueira";42
"500190 Bataguassu";42
"210050 Alto Parnaíba";42
"211010 Santa Quitéria do Maranhão";42
"150503 Novo Progresso";42
"120060 Tarauacá";42
"353670 Pederneiras";42
"260765 Itambé";42
"421290 Pinhalzinho";42
"510330 Comodoro";42
"312560 Felisburgo";42
"355330 Tambaú";42
"312200 Divino";42
"230130 Araripe";42
"411770 Palmeira";42
"411980 Planalto";42
"150490 Muaná";42
"421190 Palhoça";42
"220200 Buriti dos Lopes";42
"330440 Rio Claro";41
"350790 Brotas";41
"160050 Oiapoque";41
"421840 Treze de Maio";41
"412385 Santa Maria do Oeste";41
"315820 Santa Maria do Suaçuí";41
"314090 Matipó";41
"430340 Caiçara";41
"353900 Pirangi";41
"251630 Sumé";41
"352280 Itaporanga";41
"291880 Laje";41
"510130 Arenápolis";41
"290682 Canudos";41
"313210 Itacarambi";41
"420970 Lebon Régis";41
"521090 Itapaci";41
"150445 Medicilândia";41
"150745 São Geraldo do Araguaia";41
"290720 Casa Nova";41
"120030 Feijó";41
"431980 São Vicente do Sul";41
"260880 Lajedo";41
"221050 São Pedro do Piauí";41
"431000 Ibirubá";41
"250690 Itabaiana";41
"353530 Palmital";41
"421370 Pouso Redondo";41
"510590 Nobres";41
"240240 Carnaúba dos Dantas";41
"311110 Campina Verde";41
"120010 Brasiléia";41
"231020 Paracuru";41
"150295 Eldorado do Carajás";41
"430190 Barra do Ribeiro";41
"510785 São Félix do Araguaia";40
"432130 Taquari";40
"430330 Caibaté";40
"431030 Ilópolis";40
"261620 Vertentes";40
"250130 Aroeiras";40
"261630 Vicência";40
"355090 São Simão";40
"150034 Água Azul do Norte";40
"230900 Mucambo";40
"270940 Viçosa";40
"316100 São Domingos do Prata";40
"312320 Dores do Indaiá";40
"315990 Santo Antônio do Amparo";40
"260950 Nazaré da Mata";40
"354860 São Bento do Sapucaí";40
"291160 Governador Mangabeira";40
"210850 Pindaré-Mirim";40
"310650 Berilo";40
"430220 Boa Vista do Buricá";40
"330560 Silva Jardim";40
"290340 Belmonte";40
"261040 Parnamirim";40
"412390 Santa Mariana";40
"231200 Santana do Acaraú";40
"150795 Tailândia";40
"260320 Caetés";40
"314630 Padre Paraíso";40
"351360 Cunha";40
"291060 Esplanada";40
"350420 Auriflama";40
"311100 Campestre";40
"293340 Wagner";40
"292230 Muritiba";40
"260380 Capoeiras";40
"431400 Paraí";40
"170820 Formoso do Araguaia";40
"431205 Marques de Souza";40
"290240 Aurelino Leal";40
"330150 Cordeiro";40
"312410 Esmeraldas";40
"110005 Cerejeiras";40
"522060 Silvânia";40
"315560 Rio Pardo de Minas";40
"240010 Acari";40
"315490 Rio Casca";40
"312430 Espinosa";40
"522200 Vianópolis";40
"311030 Caldas";39
"431910 São Martinho";39
"315980 Santa Vitória";39
"431220 Maximiliano de Almeida";39
"314290 Monte Azul";39
"352130 Ipuã";39
"320100 Boa Esperança";39
"421000 Luiz Alves";39
"261590 Tuparetama";39
"430245 Boqueirão do Leão";39
"432253 Vale do Sol";39
"261050 Passira";39
"314530 Novo Cruzeiro";39
"500240 Caarapó";39
"130390 São Paulo de Olivença";39
"250480 Coremas";39
"410050 Altônia";39
"210810 Paulo Ramos";39
"351140 Cerqueira César";39
"315540 Rio Novo";39
"312830 Guaranésia";39
"231320 Tamboril";39
"421130 Navegantes";39
"411390 Mallet";39
"170700 Dianópolis";39
"221040 São Miguel do Tapuio";39
"431365 Palmares do Sul";39
"420800 Itá";39
"260480 Cortês";39
"220330 Demerval Lobão";39
"251670 Teixeira";39
"150565 Placas";39
"410442 Candói";39
"312950 Ibiá";39
"330130 Casimiro de Abreu";39
"292980 Saúde";39
"430430 Cândido Godói";39
"317160 Virgem da Lapa";39
"420960 Lauro Muller";39
"290550 Caldeirão Grande";39
"230970 Pacatuba";38
"250300 Caaporã";38
"240830 Nova Cruz";38
"172120 Tocantinópolis";38
"500430 Iguatemi";38
"130080 Borba";38
"500790 Sidrolândia";38
"521970 Santa Terezinha de Goiás";38
"291370 Inhambupe";38
"330590 Trajano de Moraes";38
"311680 Coluna";38
"220580 Luzilândia";38
"431320 Nova Petrópolis";38
"431580 Roca Sales";38
"430070 Anta Gorda";38
"500470 Ivinhema";38
"421330 Ponte Alta";38
"420100 Anita Garibaldi";38
"311150 Campos Altos";38
"315570 Rio Piracicaba";38
"220260 Castelo do Piauí";38
"313930 Manga";38
"521740 Pires do Rio";38
"230960 Pacajus";38
"130014 Apuí";38
"211070 São Domingos do Maranhão";38
"313980 Mar de Espanha";38
"311450 Carmópolis de Minas";38
"261180 Ribeirão";38
"313470 Jacinto";38
"410820 Formosa do Oeste";38
"261170 Riacho das Almas";38
"411750 Paiçandu";38
"430270 Butiá";38
"431915 São Miguel das Missões";38
"320290 Itarana";38
"351700 Getulina";38
"210600 Lima Campos";38
"410450 Capanema";38
"221120 Uruçuí";37
"210520 Igarapé Grande";37
"130060 Benjamin Constant";37
"431300 Nova Bréscia";37
"421630 São João Batista";37
"160010 Amapá";37
"210210 Brejo";37
"353490 Pacaembu";37
"291855 Jussari";37
"351520 Estrela d'Oeste";37
"230430 Farias Brito";37
"250150 Bananeiras";37
"293230 Ubatã";37
"351830 Guararema";37
"231190 Saboeiro";37
"220040 Altos";37
"510140 Aripuanã";37
"150548 Pacajá";37
"510710 São José dos Quatro Marcos";37
"510500 Jauru";37
"230423 Croatá";37
"520780 Firminópolis";37
"150820 Vigia";37
"510718 Ribeirão Cascalheira";37
"230950 Orós";37
"311390 Carmo da Cachoeira";37
"211260 Urbano Santos";37
"353860 Piracaia";37
"210890 Poção de Pedras";37
"432230 Tuparendi";37
"421220 Papanduva";37
"290660 Candiba";37
"411125 Itaperuçu";37
"510805 Terra Nova do Norte";37
"316553 Sarzedo";37
"421030 Major Vieira";37
"354160 Promissão";37
"150660 Santa Maria do Pará";37
"313490 Jacutinga";37
"210515 Igarapé do Meio";37
"250110 Areia";36
"150600 Prainha";36
"320405 Pedro Canário";36
"430090 Aratiba";36
"354420 Riolândia";36
"430290 Cacequi";36
"290620 Canarana";36
"290260 Baixa Grande";36
"431930 São Paulo das Missões";36
"210490 Guimarães";36
"354400 Rio das Pedras";36
"350380 Artur Nogueira";36
"110150 Seringueiras";36
"251250 Queimadas";36
"420020 Agrolândia";36
"421200 Palma Sola";36
"210825 Pedro do Rosário";36
"251340 Santa Luzia";36
"230655 Itarema";36
"292820 Santana";36
"352070 Indiaporã";36
"292370 Paratinga";36
"290510 Caém";36
"290910 Coribe";36
"210200 Bom Jardim";36
"421780 Taió";36
"230630 Itapagé";36
"410530 Céu Azul";36
"350640 Bilac";36
"270500 Mata Grande";36
"330555 Seropédica";36
"292930 São Gonçalo dos Campos";36
"220720 Padre Marcos";36
"330225 Itatiaia";36
"311070 Cambuquira";36
"312360 Elói Mendes";36
"520430 Caçu";36
"350810 Buritama";36
"431630 Roque Gonzales";35
"211102 São João do Carú";35
"432100 Tapera";35
"220820 Pio IX";35
"430400 Campo Novo";35
"310690 Bicas";35
"354630 Santa Cruz das Palmeiras";35
"350680 Bocaina";35
"510630 Paranatinga";35
"320370 Muniz Freire";35
"210870 Pio XII";35
"315660 Rubim";35
"314860 Peçanha";35
"352180 Itaí";35
"110034 Alvorada D'Oeste";35
"430260 Braga";35
"353630 Patrocínio Paulista";35
"353790 Pilar do Sul";35
"290930 Correntina";35
"320350 Montanha";35
"260415 Casinhas";35
"354240 Regente Feijó";35
"410680 Cruz Machado";35
"353980 Poá";35
"510460 Itiquira";35
"261130 Pombos";35
"355270 Tabatinga";35
"250320 Cabedelo";35
"355650 Várzea Paulista";35
"310470 Ataléia";35
"292920 São Francisco do Conde";35
"330015 Aperibé";35
"130002 Alvarães";35
"220520 Jaicós";35
"290440 Brejolândia";35
"350580 Bastos";35
"270400 Junqueiro";35
"270070 Batalha";35
"353180 Monte Mor";35
"211020 Santa Rita";35
"420765 Iporã do Oeste";35
"310230 Alvinópolis";35
"420530 Faxinal dos Guedes";34
"160053 Porto Grande";34
"260750 Itaíba";34
"310540 Barão de Cocais";34
"293260 Urandi";34
"320310 Jerônimo Monteiro";34
"412785 Três Barras do Paraná";34
"314730 Paraisópolis";34
"432026 Segredo";34
"355440 Terra Roxa";34
"430710 Herval";34
"520030 Alexânia";34
"316935 Três Marias";34
"314460 Nepomuceno";34
"230220 Beberibe";34
"261330 São Joaquim do Monte";34
"411410 Mandaguaçu";34
"292925 São Gabriel";34
"315410 Recreio";34
"220350 Elesbão Veloso";34
"411275 Jesuítas";34
"313540 Jeceaba";34
"291190 Iaçu";34
"291810 Jeremoabo";34
"510305 Cláudia";34
"292205 Mulungu do Morro";34
"432210 Tucunduva";34
"210510 Icatu";34
"230350 Cascavel";34
"230520 Hidrolândia";34
"240110 Areia Branca";34
"230040 Aiuaba";34
"355600 Urupês";34
"317043 União de Minas";34
"410100 Ampére";34
"313375 Itaú de Minas";34
"354540 Salto Grande";34
"251600 Solânea";34
"410460 Capitão Leônidas Marques";34
"240580 João Câmara";34
"220320 Curimatá";34
"230070 Alto Santo";33
"315240 Poté";33
"430490 Casca";33
"290200 Aracatu";33
"353475 Ouroeste";33
"351170 Charqueada";33
"260220 Bom Jardim";33
"520170 Aragarças";33
"412090 Quedas do Iguaçu";33
"260810 João Alfredo";33
"290530 Cafarnaum";33
"260560 Flores";33
"410975 Ibema";33
"314720 Paraguaçu";33
"316680 Serra do Salitre";33
"420400 Catanduvas";33
"520890 Goiás";33
"412850 Wenceslau Braz";33
"260860 Lagoa do Ouro";33
"230720 Jati";33
"130423 Tonantins";33
"510337 Cotriguaçu";33
"421140 Nova Erechim";33
"261030 Paranatama";33
"261350 São José do Belmonte";33
"110130 Mirante da Serra";33
"330395 Pinheiral";33
"150172 Brasil Novo";33
"421730 Saudades";33
"130083 Caapiranga";33
"291730 Ituberá";33
"150020 Acará";33
"431575 Riozinho";33
"411710 Nova Londrina";33
"313600 Joaíma";33
"293130 Tapiramutá";33
"521570 Palmeiras de Goiás";33
"293060 Serrolândia";33
"311880 Coração de Jesus";33
"330412 Quatis";33
"520850 Goiandira";33
"410750 Engenheiro Beltrão";33
"270210 Colônia Leopoldina";33
"230780 Marco";33
"170240 Arraias";33
"311550 Caxambu";33
"521560 Padre Bernardo";33
"420455 Correia Pinto";33
"290120 Anagé";33
"510520 Juscimeira";33
"231300 Solonópole";33
"431650 Salvador do Sul";32
"353190 Morro Agudo";32
"280020 Aquidabã";32
"352740 Lucélia";32
"231090 Piquet Carneiro";32
"261400 Serrita";32
"421490 Rio Fortuna";32
"291310 Ibititá";32
"311770 Conceição do Rio Verde";32
"421625 São João do Oeste";32
"220450 Guadalupe";32
"240570 Jardim do Seridó";32
"500220 Bonito";32
"431645 Salto do Jacuí";32
"431402 Paraíso do Sul";32
"291210 Ibicaraí";32
"260370 Canhotinho";32
"431620 Rondinha";32
"430230 Bom Jesus";32
"240090 Antônio Martins";32
"230200 Barro";32
"432060 Severiano de Almeida";32
"431150 Lavras do Sul";32
"260970 Orobó";32
"293090 Tabocas do Brejo Velho";32
"354760 Santa Rosa de Viterbo";32
"150770 São Sebastião da Boa Vista";32
"150495 Nova Esperança do Piriá";32
"292210 Mundo Novo";32
"432030 Selbach";32
"315600 Rio Vermelho";32
"290290 Barra do Choça";32
"250280 Brejo do Cruz";32
"520080 Alvorada do Norte";32
"130440 Urucurituba";32
"260795 Jaqueira";32
"315200 Pompéu";32
"290830 Conceição do Almeida";32
"313860 Lima Duarte";32
"221080 Simplício Mendes";32
"291770 Jaguarari";32
"210970 Sambaíba";32
"315110 Pirapetinga";32
"290130 Andaraí";32
"230560 Independência";32
"290890 Coração de Maria";32
"510558 Marcelândia";32
"260770 Itapetim";32
"293020 Sento Sé";32
"410660 Cruzeiro do Oeste";32
"430360 Cambará do Sul";32
"211040 São Benedito do Rio Preto";32
"520390 Buriti Alegre";32
"291835 João Dourado";32
"420330 Campo Alegre";32
"430970 Humaitá";32
"313920 Malacacheta";32
"420340 Campo Belo do Sul";32
"230230 Bela Cruz";32
"353600 Parapuã";32
"211180 Sítio Novo";32
"320410 Pinheiros";32
"330120 Carmo";32
"510080 Apiacás";32
"130185 Iranduba";32
"430630 David Canabarro";32
"421260 Peritiba";32
"292110 Medeiros Neto";32
"240230 Caraúbas";32
"500210 Bela Vista";32
"350930 Cajobi";32
"354300 Ribeirão Branco";32
"350340 Arealva";32
"292190 Mucugê";32
"291180 Guaratinga";32
"211290 Vitória do Mearim";32
"241260 São Paulo do Potengi";31
"220140 Barro Duro";31
"150157 Bom Jesus do Tocantins";31
"260090 Amaraji";31
"130050 Barreirinha";31
"130030 Autazes";31
"290810 Cocos";31
"251090 Paulista";31
"410120 Antonina";31
"291850 Jussara";31
"240670 Lajes";31
"411060 Iporã";31
"411080 Iretama";31
"130330 Novo Aripuanã";31
"351070 Cardoso";31
"420040 Água Doce";31
"211140 São Luís Gonzaga do Maranhão";31
"315270 Prados";31
"350860 Cachoeira Paulista";31
"431260 Muçum";31
"280670 São Cristóvão";31
"210150 Barão de Grajaú";31
"130310 Nova Olinda do Norte";31
"241020 Portalegre";31
"411280 Joaquim Távora";31
"310930 Buritis";31
"310940 Buritizeiro";31
"510706 Querência";31
"230600 Iracema";31
"410440 Cândido de Abreu";31
"291085 Filadélfia";31
"510637 Pedra Preta";31
"500070 Anastácio";31
"410775 Figueira";31
"317052 Urucuia";31
"210020 Alcântara";31
"210410 Fortaleza dos Nogueiras";31
"412620 Sapopema";31
"315790 Santa Margarida";31
"260875 Lagoa Grande";31
"510190 Brasnorte";31
"412000 Porecatu";31
"421530 Salete";31
"171650 Pedro Afonso";31
"521550 Ouvidor";31
"354080 Potirendaba";31
"351100 Castilho";31
"293015 Serra do Ramalho";31
"421090 Modelo";31
"211285 Vila Nova dos Martírios";31
"316240 São João da Ponte";31
"110033 Nova Mamoré";31
"150720 São Domingos do Capim";31
"350100 Altinópolis";31
"421450 Rio do Campo";31
"313460 Jaboticatubas";31
"210455 Governador Edison Lobão";31
"310640 Belo Vale";31
"412260 Rondon";31
"430870 Gaurama";31
"352800 Macatuba";31
"412250 Roncador";31
"261320 São João";31
"270440 Major Isidoro";31
"230670 Jaguaretama";31
"250200 Belém do Brejo do Cruz";31
"510325 Colniza";31
"353540 Panorama";31
"261310 São Caitano";30
"314200 Mirabela";30
"354490 Sales Oliveira";30
"314770 Passa Tempo";30
"316530 São Vicente de Minas";30
"293105 Tanque Novo";30
"420440 Coronel Freitas";30
"430590 Coronel Bicaco";30
"291270 Ibirapitanga";30
"431447 Pinhal Grande";30
"330230 Laje do Muriaé";30
"291680 Itarantim";30
"412750 Tibagi";30
"291450 Irará";30
"351000 Cândido Mota";30
"293240 Uibaí";30
"412220 Rio Branco do Sul";30
"293310 Várzea do Poço";30
"261230 Saloá";30
"330160 Duas Barras";30
"351910 Iacanga";30
"320503 Vargem Alta";30
"310120 Aiuruoca";30
"171190 Lagoa da Confusão";30
"210500 Humberto de Campos";30
"160005 Serra do Navio";30
"412230 Rio Negro";30
"314270 Montalvânia";30
"261080 Pedra";30
"315280 Prata";30
"241010 Poço Branco";30
"241440 Touros";30
"411730 Ortigueira";30
"130040 Barcelos";30
"313050 Ilicínea";30
"290710 Carinhanha";30
"150570 Ponta de Pedras";30
"355260 Tabapuã";30
"312490 Eugenópolis";30
"230690 Jaguaribe";30
"420640 Guaraciaba";30
"290790 Cipó";30
"211030 Santo Antônio dos Lopes";30
"150350 Irituia";30
"420680 Ibicaré";30
"431520 Putinga";30
"210460 Governador Eugênio Barros";30
"313990 Maria da Fé";30
"120070 Xapuri";30
"311440 Carmo do Rio Claro";30
"240700 Luís Gomes";30
"410753 Entre Rios do Oeste";30
"410760 Faxinal";30
"352290 Itapuí";30
"315770 Santa Juliana";30
"310200 Alterosa";30
"230800 Massapê";30
"240910 Passa e Fica";30
"292270 Nova Canaã";30
"292265 Nordestina";30
"150030 Afuá";30
"355080 São Sebastião da Grama";30
"291735 Jaborandi";30
