Data;Região;Setor;Variação
01/09/2020;ESP exceto RMSP;Agricultura, pecuária e pesca;87944,11048
01/12/2020;ESP exceto RMSP;Agricultura, pecuária e pesca;-23539,20294
01/03/2021;ESP exceto RMSP;Agricultura, pecuária e pesca;-13406,19747
01/06/2021;ESP exceto RMSP;Agricultura, pecuária e pesca;-58568,22901
01/06/2017;ESP exceto RMSP;Indústria;80422,54661
01/09/2017;ESP exceto RMSP;Indústria;21690,6329
01/12/2017;ESP exceto RMSP;Indústria;77506,72605
01/03/2018;ESP exceto RMSP;Indústria;-88319,61516
01/06/2018;ESP exceto RMSP;Indústria;23643,20715
01/09/2018;ESP exceto RMSP;Indústria;26679,08376
01/12/2018;ESP exceto RMSP;Indústria;-6049,22183
01/03/2019;ESP exceto RMSP;Indústria;-34230,50744
01/06/2019;ESP exceto RMSP;Indústria;132729,8082
01/09/2019;ESP exceto RMSP;Indústria;-21396,61172
01/12/2019;ESP exceto RMSP;Indústria;34364,32808
01/03/2020;ESP exceto RMSP;Indústria;-322,8758501
01/06/2020;ESP exceto RMSP;Indústria;-143100,5612
01/09/2020;ESP exceto RMSP;Indústria;-144342,5098
01/12/2020;ESP exceto RMSP;Indústria;114031,3517
01/03/2021;ESP exceto RMSP;Indústria;-80470,56583
01/06/2021;ESP exceto RMSP;Indústria;58973,60456
01/06/2017;ESP exceto RMSP;Construção;38500,81834
01/09/2017;ESP exceto RMSP;Construção;-3102,312446
01/12/2017;ESP exceto RMSP;Construção;-32589,45439
01/03/2018;ESP exceto RMSP;Construção;-47015,72496
01/06/2018;ESP exceto RMSP;Construção;-5679,81691
01/09/2018;ESP exceto RMSP;Construção;40370,59187
01/12/2018;ESP exceto RMSP;Construção;-13047,26223
01/03/2019;ESP exceto RMSP;Construção;-32318,95097
01/06/2019;ESP exceto RMSP;Construção;-10482,16197
01/09/2019;ESP exceto RMSP;Construção;76711,13688
01/12/2019;ESP exceto RMSP;Construção;-53838,26142
01/03/2020;ESP exceto RMSP;Construção;25376,72005
01/06/2020;ESP exceto RMSP;Construção;-142391,9781
01/09/2020;ESP exceto RMSP;Construção;5085,919149
01/12/2020;ESP exceto RMSP;Construção;-39943,48766
01/03/2021;ESP exceto RMSP;Construção;-10557,636
01/06/2021;ESP exceto RMSP;Construção;48533,07905
01/06/2017;ESP exceto RMSP;Comércio;9884,601341
01/09/2017;ESP exceto RMSP;Comércio;-28334,08869
01/12/2017;ESP exceto RMSP;Comércio;33709,69721
01/03/2018;ESP exceto RMSP;Comércio;-53675,21288
01/06/2018;ESP exceto RMSP;Comércio;57432,22774
01/09/2018;ESP exceto RMSP;Comércio;27363,56013
01/12/2018;ESP exceto RMSP;Comércio;15754,35304
01/03/2019;ESP exceto RMSP;Comércio;-9230,940669
01/06/2019;ESP exceto RMSP;Comércio;-62043,6657
01/09/2019;ESP exceto RMSP;Comércio;16434,4566
01/12/2019;ESP exceto RMSP;Comércio;47961,71605
01/03/2020;ESP exceto RMSP;Comércio;-153153,9436
01/06/2020;ESP exceto RMSP;Comércio;-237897,2486
01/09/2020;ESP exceto RMSP;Comércio;-37970,72562
01/12/2020;ESP exceto RMSP;Comércio;249637,0883
01/03/2021;ESP exceto RMSP;Comércio;-100509,7276
01/06/2021;ESP exceto RMSP;Comércio;48382,96165
01/06/2017;ESP exceto RMSP;Serviços;-8085,874096
01/09/2017;ESP exceto RMSP;Serviços;28500,72086
01/12/2017;ESP exceto RMSP;Serviços;-71715,45251
01/03/2018;ESP exceto RMSP;Serviços;60967,75086
01/06/2018;ESP exceto RMSP;Serviços;95699,70102
01/09/2018;ESP exceto RMSP;Serviços;74948,00326
01/12/2018;ESP exceto RMSP;Serviços;125903,9272
01/03/2019;ESP exceto RMSP;Serviços;113154,7894
01/06/2019;ESP exceto RMSP;Serviços;21535,984
01/09/2019;ESP exceto RMSP;Serviços;-65535,76549
01/12/2019;ESP exceto RMSP;Serviços;98971,06783
01/03/2020;ESP exceto RMSP;Serviços;13172,85883
01/06/2020;ESP exceto RMSP;Serviços;-478730,8019
01/09/2020;ESP exceto RMSP;Serviços;-208571,6081
01/12/2020;ESP exceto RMSP;Serviços;153962,774
01/03/2021;ESP exceto RMSP;Serviços;28502,61694
01/06/2021;ESP exceto RMSP;Serviços;77329,72032
01/06/2017;Município de São Paulo;Agricultura, pecuária e pesca;-5104,776718
01/09/2017;Município de São Paulo;Agricultura, pecuária e pesca;-1909,068673
01/12/2017;Município de São Paulo;Agricultura, pecuária e pesca;-3870,115827
01/03/2018;Município de São Paulo;Agricultura, pecuária e pesca;2742,498744
01/06/2018;Município de São Paulo;Agricultura, pecuária e pesca;-4899,188447
01/09/2018;Município de São Paulo;Agricultura, pecuária e pesca;1204,637364
01/12/2018;Município de São Paulo;Agricultura, pecuária e pesca;-1025,880861
01/03/2019;Município de São Paulo;Agricultura, pecuária e pesca;1262,456865
